pressao_kpa,desvio_pressao,label
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
135.15,35.15,Critico
150.00,50.00,Critico
150.00,50.00,Critico
150.00,50.00,Critico
50.00,50.00,Critico
50.00,50.00,Critico
50.00,50.00,Critico
150.00,50.00,Critico
150.00,50.00,Critico
150.00,50.00,Critico
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
102.99,2.99,Seguro
128.49,28.49,Critico
130.73,30.73,Critico
130.73,30.73,Critico
130.73,30.73,Critico
130.73,30.73,Critico
130.73,30.73,Critico
141.89,41.89,Critico
142.97,42.97,Critico
150.00,50.00,Critico
50.00,50.00,Critico
50.00,50.00,Critico
50.00,50.00,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.92,34.08,Critico
65.14,34.86,Critico
65.14,34.86,Critico
65.14,34.86,Critico
65.14,34.86,Critico
65.92,34.08,Critico
65.92,34.08,Critico
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
121.45,21.45,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
